"data","serie","codigo","valor"
2014-03-01,"depositos_vista",27790,174460885
2014-04-01,"depositos_vista",27790,174919967
2014-05-01,"depositos_vista",27790,168512887
2014-06-01,"depositos_vista",27790,169699057
2014-07-01,"depositos_vista",27790,165291106
2014-08-01,"depositos_vista",27790,166100565
2014-09-01,"depositos_vista",27790,170413242
2014-10-01,"depositos_vista",27790,167492124
2014-11-01,"depositos_vista",27790,175547059
2014-12-01,"depositos_vista",27790,185109929
2015-01-01,"depositos_vista",27790,170885983
2015-02-01,"depositos_vista",27790,168715875
2015-03-01,"depositos_vista",27790,166300293
2015-04-01,"depositos_vista",27790,159236641
2015-05-01,"depositos_vista",27790,158728623
2015-06-01,"depositos_vista",27790,159866795
2015-07-01,"depositos_vista",27790,151094978
2015-08-01,"depositos_vista",27790,151353295
2015-09-01,"depositos_vista",27790,149465996
2015-10-01,"depositos_vista",27790,146448053
2015-11-01,"depositos_vista",27790,155124287
2015-12-01,"depositos_vista",27790,161940172
2016-01-01,"depositos_vista",27790,150475360
2016-02-01,"depositos_vista",27790,151449785
2016-03-01,"depositos_vista",27790,148210093
2016-04-01,"depositos_vista",27790,150235933
2016-05-01,"depositos_vista",27790,149595843
2016-06-01,"depositos_vista",27790,150166522
2016-07-01,"depositos_vista",27790,147268307
2016-08-01,"depositos_vista",27790,147823688
2016-09-01,"depositos_vista",27790,151306402
2016-10-01,"depositos_vista",27790,154121852
2016-11-01,"depositos_vista",27790,158865851
2016-12-01,"depositos_vista",27790,171055078
2017-01-01,"depositos_vista",27790,151990251
2017-02-01,"depositos_vista",27790,157535566
2017-03-01,"depositos_vista",27790,152547049
2017-04-01,"depositos_vista",27790,154598729
2017-05-01,"depositos_vista",27790,154731915
2017-06-01,"depositos_vista",27790,157053070
2017-07-01,"depositos_vista",27790,157343278
2017-08-01,"depositos_vista",27790,154505115
2017-09-01,"depositos_vista",27790,156549485
2017-10-01,"depositos_vista",27790,156944793
2017-11-01,"depositos_vista",27790,165505188
2017-12-01,"depositos_vista",27790,179929926
2018-01-01,"depositos_vista",27790,161528707
2018-02-01,"depositos_vista",27790,165472077
2018-03-01,"depositos_vista",27790,170388005
2018-04-01,"depositos_vista",27790,175792371
2018-05-01,"depositos_vista",27790,173902943
2018-06-01,"depositos_vista",27790,171743091
2018-07-01,"depositos_vista",27790,170376496
2018-08-01,"depositos_vista",27790,174125250
2018-09-01,"depositos_vista",27790,176292220
2018-10-01,"depositos_vista",27790,170343570
2018-11-01,"depositos_vista",27790,176328775
2018-12-01,"depositos_vista",27790,192069571
2019-01-01,"depositos_vista",27790,172986831
2019-02-01,"depositos_vista",27790,178104350
2019-03-01,"depositos_vista",27790,180041402
2019-04-01,"depositos_vista",27790,180887251
2019-05-01,"depositos_vista",27790,176189112
2019-06-01,"depositos_vista",27790,180590314
2019-07-01,"depositos_vista",27790,176890435
2019-08-01,"depositos_vista",27790,178832899
2019-09-01,"depositos_vista",27790,185853835
2019-10-01,"depositos_vista",27790,180496056
2019-11-01,"depositos_vista",27790,194625989
2019-12-01,"depositos_vista",27790,219412639
2020-01-01,"depositos_vista",27790,191981511
2020-02-01,"depositos_vista",27790,199681037
2020-03-01,"depositos_vista",27790,221617254
2020-04-01,"depositos_vista",27790,233611277
2020-05-01,"depositos_vista",27790,246472095
2020-06-01,"depositos_vista",27790,263802708
2020-07-01,"depositos_vista",27790,266621350
2020-08-01,"depositos_vista",27790,279222044
2020-09-01,"depositos_vista",27790,298269629
2020-10-01,"depositos_vista",27790,297646164
2020-11-01,"depositos_vista",27790,310057487
2020-12-01,"depositos_vista",27790,332218129
2021-01-01,"depositos_vista",27790,298617922
2021-02-01,"depositos_vista",27790,302761271
2021-03-01,"depositos_vista",27790,312936670
2021-04-01,"depositos_vista",27790,319354076
2021-05-01,"depositos_vista",27790,323597448
2021-06-01,"depositos_vista",27790,354110906
2021-07-01,"depositos_vista",27790,360402855
2021-08-01,"depositos_vista",27790,357486665
2021-09-01,"depositos_vista",27790,353060999
2021-10-01,"depositos_vista",27790,343087956
2021-11-01,"depositos_vista",27790,349378685
2021-12-01,"depositos_vista",27790,367475256
2022-01-01,"depositos_vista",27790,327800630
2022-02-01,"depositos_vista",27790,333167467
2022-03-01,"depositos_vista",27790,335803641
2022-04-01,"depositos_vista",27790,342279371
2022-05-01,"depositos_vista",27790,331986501
2022-06-01,"depositos_vista",27790,336964270
2022-07-01,"depositos_vista",27790,333751521
2022-08-01,"depositos_vista",27790,336587010
2022-09-01,"depositos_vista",27790,335927581
2022-10-01,"depositos_vista",27790,323571520
2022-11-01,"depositos_vista",27790,331747472
2022-12-01,"depositos_vista",27790,352649985
2023-01-01,"depositos_vista",27790,312461652
2023-02-01,"depositos_vista",27790,319491752
2023-03-01,"depositos_vista",27790,323548712
2023-04-01,"depositos_vista",27790,326478937
2023-05-01,"depositos_vista",27790,314584231
2023-06-01,"depositos_vista",27790,315726139
2023-07-01,"depositos_vista",27790,311281724
2023-08-01,"depositos_vista",27790,318453926
2023-09-01,"depositos_vista",27790,315874042
2023-10-01,"depositos_vista",27790,310234599
2023-11-01,"depositos_vista",27790,327007854
2023-12-01,"depositos_vista",27790,352477983
2024-01-01,"depositos_vista",27790,316833759
2024-02-01,"depositos_vista",27790,319493117
2024-03-01,"depositos_vista",27790,325226995
2024-04-01,"depositos_vista",27790,336966713
2024-05-01,"depositos_vista",27790,343354465
2024-06-01,"depositos_vista",27790,357210969
2024-07-01,"depositos_vista",27790,343779402
2024-08-01,"depositos_vista",27790,352661659
2024-09-01,"depositos_vista",27790,347181414
2024-10-01,"depositos_vista",27790,327883635
2024-11-01,"depositos_vista",27790,340340913
2024-12-01,"depositos_vista",27790,369286093
2025-01-01,"depositos_vista",27790,315381371
2025-02-01,"depositos_vista",27790,326445031
2025-03-01,"depositos_vista",27790,326990399
2025-04-01,"depositos_vista",27790,335783077
2025-05-01,"depositos_vista",27790,327610407
2025-06-01,"depositos_vista",27790,329095862
2025-07-01,"depositos_vista",27790,314211953
2025-08-01,"depositos_vista",27790,318300052
2025-09-01,"depositos_vista",27790,324839198
2025-10-01,"depositos_vista",27790,302291705
2025-11-01,"depositos_vista",27790,315278287
