"trimestre","componente","valor_milhoes"
"202301","Atividades financeiras, de seguros e serviços relacionados",180264
"202302","Atividades financeiras, de seguros e serviços relacionados",182242
"202303","Atividades financeiras, de seguros e serviços relacionados",170568
"202304","Atividades financeiras, de seguros e serviços relacionados",183391
"202401","Atividades financeiras, de seguros e serviços relacionados",185679
"202402","Atividades financeiras, de seguros e serviços relacionados",180492
"202403","Atividades financeiras, de seguros e serviços relacionados",179483
"202404","Atividades financeiras, de seguros e serviços relacionados",198966
"202501","Atividades financeiras, de seguros e serviços relacionados",220185
"202502","Atividades financeiras, de seguros e serviços relacionados",231704
"202503","Atividades financeiras, de seguros e serviços relacionados",229022
"202504","Atividades financeiras, de seguros e serviços relacionados",249358
"202601","Atividades financeiras, de seguros e serviços relacionados",249364
"202602","Atividades financeiras, de seguros e serviços relacionados",255606
"201901","Atividades imobiliárias",151038
"201902","Atividades imobiliárias",154202
"201903","Atividades imobiliárias",156638
"201904","Atividades imobiliárias",157706
"202001","Atividades imobiliárias",158449
"202002","Atividades imobiliárias",161890
"202003","Atividades imobiliárias",166086
"202004","Atividades imobiliárias",169588
"202101","Atividades imobiliárias",169401
"202102","Atividades imobiliárias",172385
"202103","Atividades imobiliárias",176029
"202104","Atividades imobiliárias",181650
"202201","Atividades imobiliárias",182454
"202202","Atividades imobiliárias",188121
"202203","Atividades imobiliárias",196657
"202204","Atividades imobiliárias",202943
"202301","Atividades imobiliárias",200139
"202302","Atividades imobiliárias",207092
"202303","Atividades imobiliárias",215468
"202304","Atividades imobiliárias",216255
"202401","Atividades imobiliárias",216787
"202402","Atividades imobiliárias",221388
"202403","Atividades imobiliárias",228139
"202404","Atividades imobiliárias",226865
"202501","Atividades imobiliárias",230356
"202502","Atividades imobiliárias",236197
"202503","Atividades imobiliárias",243121
"202504","Atividades imobiliárias",244441
"202601","Atividades imobiliárias",248680
"202602","Atividades imobiliárias",253124
"201901","Outras atividades de serviços",271943
"201902","Outras atividades de serviços",284887
"201903","Outras atividades de serviços",288846
"201904","Outras atividades de serviços",302587
"202001","Outras atividades de serviços",279161
"202002","Outras atividades de serviços",251838
"202003","Outras atividades de serviços",260069
"202004","Outras atividades de serviços",291288
"202101","Outras atividades de serviços",272406
"202102","Outras atividades de serviços",292281
"202103","Outras atividades de serviços",319369
"202104","Outras atividades de serviços",345315
"202201","Outras atividades de serviços",314012
"202202","Outras atividades de serviços",345314
"202203","Outras atividades de serviços",369847
"202204","Outras atividades de serviços",392130
"202301","Outras atividades de serviços",363814
"202302","Outras atividades de serviços",388824
"202303","Outras atividades de serviços",410409
"202304","Outras atividades de serviços",435691
"202401","Outras atividades de serviços",407860
"202402","Outras atividades de serviços",430347
"202403","Outras atividades de serviços",454446
"202404","Outras atividades de serviços",468618
"202501","Outras atividades de serviços",436985
"202502","Outras atividades de serviços",473297
"202503","Outras atividades de serviços",493063
"202504","Outras atividades de serviços",518570
"202601","Outras atividades de serviços",485929
"202602","Outras atividades de serviços",514844
"201901","Administração, saúde e educação públicas e seguridade social",258328
"201902","Administração, saúde e educação públicas e seguridade social",274070
"201903","Administração, saúde e educação públicas e seguridade social",263114
"201904","Administração, saúde e educação públicas e seguridade social",310579
"202001","Administração, saúde e educação públicas e seguridade social",265956
"202002","Administração, saúde e educação públicas e seguridade social",283251
"202003","Administração, saúde e educação públicas e seguridade social",270599
"202004","Administração, saúde e educação públicas e seguridade social",327094
"202101","Administração, saúde e educação públicas e seguridade social",277270
"202102","Administração, saúde e educação públicas e seguridade social",301084
"202103","Administração, saúde e educação públicas e seguridade social",292035
"202104","Administração, saúde e educação públicas e seguridade social",348567
"202201","Administração, saúde e educação públicas e seguridade social",296247
"202202","Administração, saúde e educação públicas e seguridade social",332570
"202203","Administração, saúde e educação públicas e seguridade social",333702
"202204","Administração, saúde e educação públicas e seguridade social",403321
"202301","Administração, saúde e educação públicas e seguridade social",332200
"202302","Administração, saúde e educação públicas e seguridade social",368255
"202303","Administração, saúde e educação públicas e seguridade social",362626
"202304","Administração, saúde e educação públicas e seguridade social",453193
"202401","Administração, saúde e educação públicas e seguridade social",364125
"202402","Administração, saúde e educação públicas e seguridade social",401512
"202403","Administração, saúde e educação públicas e seguridade social",393698
"202404","Administração, saúde e educação públicas e seguridade social",467636
"202501","Administração, saúde e educação públicas e seguridade social",391999
"202502","Administração, saúde e educação públicas e seguridade social",425453
"202503","Administração, saúde e educação públicas e seguridade social",425445
"202504","Administração, saúde e educação públicas e seguridade social",504202
"202601","Administração, saúde e educação públicas e seguridade social",440778
"202602","Administração, saúde e educação públicas e seguridade social",466061
"201901","Valor adicionado a preços básicos",1506730
"201902","Valor adicionado a preços básicos",1576835
"201903","Valor adicionado a preços básicos",1622260
"201904","Valor adicionado a preços básicos",1650858
"202001","Valor adicionado a preços básicos",1606642
"202002","Valor adicionado a preços básicos",1577815
"202003","Valor adicionado a preços básicos",1661037
"202004","Valor adicionado a preços básicos",1749443
"202101","Valor adicionado a preços básicos",1855194
"202102","Valor adicionado a preços básicos",1906053
"202103","Valor adicionado a preços básicos",1956338
"202104","Valor adicionado a preços básicos",1996415
"202201","Valor adicionado a preços básicos",1983182
"202202","Valor adicionado a preços básicos",2185477
"202203","Valor adicionado a preços básicos",2259520
"202204","Valor adicionado a preços básicos",2308297
